,表チーム,裏チーム,表得点,裏得点
2391,オリオールズ,ブルージェイズ,2,8
2392,フィリーズ,ブルージェイズ,2,4
2393,インディアンス,Wソックス,4,0
2394,フィリーズ,ブルージェイズ,6,8
2395,インディアンス,Wソックス,1,5
2396,フィリーズ,ブルージェイズ,8,3
2397,インディアンス,Wソックス,2,3
2398,レイズ,ブルージェイズ,7,1
2399,レイズ,ブルージェイズ,4,0
2400,レイズ,ブルージェイズ,3,10
2401,インディアンス,ブルージェイズ,9,4
2402,インディアンス,ブルージェイズ,2,3
2403,アスレチックス,Wソックス,11,2
2404,アスレチックス,Wソックス,7,6
2405,インディアンス,ブルージェイズ,2,6
2406,レイズ,ブルージェイズ,8,9
2407,アスレチックス,Wソックス,3,10
2408,レイズ,ブルージェイズ,11,3
2409,レイズ,ブルージェイズ,2,5
2410,レイズ,ブルージェイズ,5,2
2411,アストロズ,ブルージェイズ,5,3
2412,ツインズ,Wソックス,2,1
2413,アストロズ,ブルージェイズ,4,1
2414,アストロズ,ブルージェイズ,1,3
2415,カージナルス,Wソックス,14,2
2416,カージナルス,Wソックス,0,4
2417,アストロズ,レンジャーズ,4,1
2418,アストロズ,レンジャーズ,1,5
2419,ブルージェイズ,Wソックス,5,9
2420,アストロズ,レンジャーズ,9,3
2421,パイレーツ,カブス,5,13
2422,ブルージェイズ,Wソックス,7,4
2423,アストロズ,レンジャーズ,8,2
2424,パイレーツ,カブス,6,1
2425,ロイヤルズ,Wソックス,4,2
2426,ブルージェイズ,レンジャーズ,1,5
2427,ブルージェイズ,レンジャーズ,7,4
2428,エンゼルス,レンジャーズ,8,3
2429,ブレーブス,カブス,4,0
2430,ロイヤルズ,Wソックス,10,5
2431,ブレーブス,カブス,10,14
2432,ロイヤルズ,Wソックス,4,6
2433,エンゼルス,レンジャーズ,7,2
2434,マリナーズ,レンジャーズ,4,7
2435,ヤンキース,Wソックス,7,0
2436,ヤンキース,Wソックス,4,3
2437,インディアンス,Wソックス,0,1
2438,インディアンス,Wソックス,3,1
2439,インディアンス,Wソックス,9,7
2440,ブリュワーズ,カブス,0,1
2441,ブリュワーズ,カブス,2,3
2442,ロイヤルズ,Wソックス,3,9
2443,ロイヤルズ,Wソックス,3,1
2444,ヤンキース,レンジャーズ,10,5
2445,ロイヤルズ,Wソックス,6,7
2446,ヤンキース,レンジャーズ,10,12
2447,ツインズ,Wソックス,5,2
2448,ロッキーズ,カブス,3,1
2449,ツインズ,Wソックス,3,7
2450,Rソックス,Wソックス,9,4
2451,Rソックス,Wソックス,1,6
2452,Rソックス,Wソックス,6,1
2453,Wソックス,カブス,2,11
2454,Rソックス,Wソックス,0,8
2455,タイガース,Wソックス,2,4
2456,アストロズ,レンジャーズ,7,3
2457,Wソックス,カブス,4,8
2458,Wソックス,カブス,5,3
2459,タイガース,Wソックス,8,3
2460,タイガース,Wソックス,10,2
2461,インディアンス,カブス,10,1
2462,エンゼルス,Wソックス,5,2
2463,インディアンス,カブス,1,0
2464,パドレス,レンジャーズ,4,7
2465,パドレス,レンジャーズ,3,2
2466,カブス,Wソックス,4,10
2467,カブス,Wソックス,8,3
2468,Wソックス,レンジャーズ,3,11
2469,Wソックス,レンジャーズ,4,13
2470,カブス,Wソックス,6,1
2471,インディアンス,Wソックス,4,0
2472,インディアンス,Wソックス,4,5
2473,Wソックス,レンジャーズ,10,5
2474,インディアンス,Wソックス,10,2
2475,パイレーツ,カブス,1,3
2476,アストロズ,レンジャーズ,5,3
2477,アストロズ,レンジャーズ,5,4
2478,アスレチックス,レンジャーズ,15,3
2479,アスレチックス,レンジャーズ,6,5
2480,アスレチックス,レンジャーズ,7,6
2481,ドジャース,カブス,1,2
2482,オリオールズ,レンジャーズ,8,17
2483,ツインズ,オリオールズ,2,3
2484,オリオールズ,レンジャーズ,3,11
2485,ツインズ,オリオールズ,6,2
2486,ツインズ,カブス,6,10
2487,オリオールズ,レンジャーズ,9,6
2488,ツインズ,カブス,9,14
2489,ツインズ,オリオールズ,7,0
2490,マリナーズ,レンジャーズ,4,3
2491,ブルージェイズ,オリオールズ,7,1
2492,ブルージェイズ,オリオールズ,2,1
2493,マリナーズ,レンジャーズ,4,11
2494,ツインズ,カブス,10,11
2495,ブルージェイズ,オリオールズ,3,5
2496,タイガース,カブス,3,5
2497,インディアンス,オリオールズ,1,3
2498,タイガース,カブス,2,5
2499,Dバックス,レンジャーズ,3,5
2500,インディアンス,オリオールズ,4,0
2501,レッズ,カブス,3,2
2502,Dバックス,レンジャーズ,6,4
2503,レッズ,カブス,7,8
2504,エンゼルス,レンジャーズ,6,8
2505,インディアンス,オリオールズ,7,3
2506,エンゼルス,レンジャーズ,4,6
2507,インディアンス,オリオールズ,2,1
2508,ナショナルズ,レッズ,13,7
2509,カージナルス,カブス,6,9
2510,エンゼルス,レンジャーズ,11,7
2511,エンゼルス,レンジャーズ,2,4
2512,ドジャース,レンジャーズ,8,4
2513,ナショナルズ,レッズ,6,5
2514,ドジャース,レンジャーズ,3,1
2515,Dバックス,カブス,7,1
2516,ツインズ,レンジャーズ,10,7
2517,カブス,レッズ,0,1
2518,Dバックス,カブス,1,2
2519,Dバックス,カブス,6,7
2520,パドレス,カブス,6,1
2521,ツインズ,レンジャーズ,4,7
2522,パドレス,カブス,4,5
2523,カージナルス,レッズ,13,4
2524,ツインズ,レンジャーズ,4,18
2525,エンゼルス,レンジャーズ,3,1
2526,パドレス,カブス,10,6
2527,カージナルス,レッズ,5,3
2528,エンゼルス,レンジャーズ,2,4
2529,ナショナルズ,カブス,2,3
2530,エンゼルス,レンジャーズ,9,3
2531,ナショナルズ,カブス,9,4
2532,レイズ,レンジャーズ,3,0
2533,ナショナルズ,カブス,3,4
2534,カージナルス,レッズ,6,1
2535,レイズ,レンジャーズ,4,0
2536,ブリュワーズ,カブス,7,0
2537,レイズ,レンジャーズ,9,3
2538,カージナルス,レッズ,3,2
2539,ブリュワーズ,カブス,4,8
2540,マリナーズ,レンジャーズ,3,8
2541,マリナーズ,レンジャーズ,13,0
2542,レッズ,カブス,1,7
2543,マリナーズ,レンジャーズ,1,6
2544,レイズ,オリオールズ,8,4
2545,レイズ,オリオールズ,9,5
2546,タイガース,オリオールズ,0,6
2547,タイガース,オリオールズ,3,5
2548,Rソックス,レイズ,4,6
2549,ロイヤルズ,オリオールズ,15,7
2550,ブレーブス,レッズ,7,4
2551,ロイヤルズ,オリオールズ,6,11
2552,Rソックス,レイズ,1,0
2553,レイズ,オリオールズ,4,9
2554,レッズ,カブス,2,3
2555,Rソックス,レイズ,3,2
2556,レイズ,オリオールズ,3,6
2557,レッズ,カブス,6,10
2558,レイズ,オリオールズ,1,17
2559,レッズ,カブス,0,9
2560,フィリーズ,オリオールズ,4,1
2561,メッツ,カブス,4,7
2562,ブリュワーズ,レッズ,7,6
2563,メッツ,カブス,1,2
2564,ナショナルズ,オリオールズ,6,0
2565,メッツ,カブス,10,3
2566,ナショナルズ,オリオールズ,3,2
2567,ナショナルズ,オリオールズ,2,0
2568,Rソックス,レイズ,2,1
2569,フィリーズ,レイズ,2,1
2570,フィリーズ,レイズ,9,4
2571,ブリュワーズ,カブス,3,2
2572,ヤンキース,オリオールズ,4,1
2573,フィリーズ,レイズ,10,4
2574,ブリュワーズ,カブス,0,3
2575,レンジャーズ,レイズ,4,8
2576,ヤンキース,オリオールズ,8,5
2577,ブリュワーズ,カブス,5,1
2578,レッズ,カブス,2,3
2579,レッズ,カブス,0,1
2580,Rソックス,オリオールズ,2,0
2581,ツインズ,レイズ,7,8
