,試合ID,表チーム,裏チーム,表得点,裏得点
3230,1995936.csv,ナショナルズ,ロッキーズ,12,2
3231,1995937.csv,タイガース,ロイヤルズ,4,5
3232,1995938.csv,ドジャース,マリナーズ,11,1
3233,1995939.csv,タイガース,ロイヤルズ,8,4
3234,1995940.csv,ナショナルズ,ロッキーズ,0,12
3235,1995941.csv,ドジャース,マリナーズ,4,4
3236,1995942.csv,カブス,ロイヤルズ,3,1
3237,1995943.csv,カブス,ロイヤルズ,5,0
3238,1995944.csv,ドジャース,マリナーズ,12,1
3239,1995945.csv,カブス,ロイヤルズ,0,9
3240,1995946.csv,カージナルス,ロイヤルズ,7,0
3241,1995947.csv,アストロズ,マリナーズ,4,7
3242,1995948.csv,カージナルス,ロイヤルズ,8,3
3243,1995949.csv,カージナルス,ロイヤルズ,8,2
3244,1995950.csv,アストロズ,マリナーズ,3,2
3245,1995951.csv,ブルージェイズ,ロイヤルズ,1,3
3246,1995952.csv,アストロズ,マリナーズ,10,7
3247,1995953.csv,ブルージェイズ,ロイヤルズ,6,5
3248,1995954.csv,ブルージェイズ,ロイヤルズ,6,5
3249,1995955.csv,ブルージェイズ,ロイヤルズ,2,6
3250,1995956.csv,ヤンキース,オリオールズ,5,3
3251,1995957.csv,インディアンス,ロイヤルズ,4,5
3252,1995958.csv,オリオールズ,マリナーズ,1,2
3253,1995959.csv,インディアンス,ロイヤルズ,1,7
3254,1995960.csv,オリオールズ,マリナーズ,5,3
3255,1995961.csv,インディアンス,ロイヤルズ,12,5
3256,1995962.csv,タイガース,ロイヤルズ,2,6
3257,1995963.csv,オリオールズ,マリナーズ,2,5
3258,1995964.csv,タイガース,ロイヤルズ,2,9
3259,1995965.csv,オリオールズ,ロイヤルズ,2,9
3260,1995967.csv,ヤンキース,マリナーズ,4,0
3261,1995969.csv,ヤンキース,マリナーズ,2,3
3262,1995971.csv,パドレス,マリナーズ,2,1
3263,1995972.csv,パドレス,マリナーズ,5,4
3264,1995973.csv,アスレチックス,マリナーズ,7,3
3265,1995974.csv,パイレーツ,タイガース,1,0
3266,1995975.csv,アスレチックス,マリナーズ,8,10
3267,1995976.csv,アスレチックス,マリナーズ,9,3
3268,1995977.csv,レンジャーズ,マリナーズ,2,0
3269,1995978.csv,ロイヤルズ,タイガース,1,6
3270,1995979.csv,レンジャーズ,マリナーズ,6,12
3271,1995980.csv,レンジャーズ,マリナーズ,1,4
3272,1995981.csv,ロイヤルズ,タイガース,1,0
3273,1995982.csv,レンジャーズ,マリナーズ,1,3
3274,1995984.csv,ヤンキース,タイガース,8,6
3275,1995987.csv,マリナーズ,ジャイアンツ,6,4
3276,1995988.csv,オリオールズ,タイガース,2,4
3277,1995989.csv,マリナーズ,ジャイアンツ,1,10
3278,1995992.csv,オリオールズ,タイガース,8,13
3279,1995993.csv,ブルージェイズ,オリオールズ,0,7
3280,1995994.csv,ドジャース,ジャイアンツ,5,7
3281,1995995.csv,ブルージェイズ,オリオールズ,5,12
3282,1995996.csv,ロイヤルズ,タイガース,3,2
3283,1995997.csv,ブルージェイズ,オリオールズ,5,10
3284,1995998.csv,ドジャース,ジャイアンツ,2,1
3285,1995999.csv,Dバックス,ジャイアンツ,2,1
3286,1996000.csv,ロイヤルズ,タイガース,4,12
3287,1996001.csv,アスレチックス,オリオールズ,3,2
3288,1996003.csv,アスレチックス,オリオールズ,10,0
3289,1996004.csv,ロイヤルズ,タイガース,8,5
3290,1996005.csv,Dバックス,ジャイアンツ,7,3
3291,1996006.csv,アスレチックス,オリオールズ,3,5
3292,1996010.csv,レイズ,タイガース,1,2
3293,1996012.csv,ドジャース,ジャイアンツ,4,6
3294,1996017.csv,カージナルス,ブリュワーズ,8,4
3295,1996018.csv,オリオールズ,ロイヤルズ,4,5
3296,1996019.csv,マリナーズ,タイガース,3,4
3297,1996020.csv,オリオールズ,ロイヤルズ,1,9
3298,1996021.csv,マリナーズ,タイガース,4,5
3299,1996022.csv,カージナルス,ブリュワーズ,4,5
3300,1996023.csv,Wソックス,ロイヤルズ,3,3
3301,1996024.csv,Wソックス,ロイヤルズ,3,6
3302,1996026.csv,カージナルス,ブリュワーズ,6,0
3303,1996027.csv,Wソックス,ロイヤルズ,4,2
3304,1996028.csv,インディアンス,タイガース,3,6
3305,1996029.csv,ツインズ,ロイヤルズ,4,6
3306,1996030.csv,ツインズ,ロイヤルズ,4,8
3307,1996031.csv,Wソックス,オリオールズ,8,6
3308,1996032.csv,ツインズ,ロイヤルズ,3,10
3309,1996033.csv,Wソックス,オリオールズ,2,0
3310,1996034.csv,インディアンス,タイガース,8,9
3311,1996036.csv,ツインズ,ロイヤルズ,9,6
3312,1996037.csv,Wソックス,オリオールズ,4,8
3313,1996038.csv,パドレス,ジャイアンツ,3,2
3314,1996039.csv,インディアンス,ロイヤルズ,1,2
3315,1996040.csv,ブルージェイズ,オリオールズ,5,0
3316,1996041.csv,インディアンス,ロイヤルズ,14,6
3317,1996042.csv,インディアンス,タイガース,6,0
3318,1996045.csv,インディアンス,ロイヤルズ,4,9
3319,1996046.csv,ブルージェイズ,オリオールズ,6,4
3320,1996047.csv,インディアンス,ロイヤルズ,2,1
3321,1996048.csv,ブルージェイズ,オリオールズ,1,2
3322,1996049.csv,レッズ,ジャイアンツ,7,10
3323,1996050.csv,Wソックス,タイガース,4,5
3324,1996051.csv,カブス,ブリュワーズ,5,2
3325,1996053.csv,レッズ,ジャイアンツ,3,5
3326,1996054.csv,アストロズ,オリオールズ,2,1
3327,1996055.csv,レッズ,ジャイアンツ,6,3
3328,1996056.csv,カブス,ブリュワーズ,3,0
3329,1996057.csv,Wソックス,タイガース,8,4
3330,1996058.csv,アストロズ,オリオールズ,4,3
3331,1996059.csv,ロッキーズ,ジャイアンツ,5,3
3332,1996060.csv,Wソックス,タイガース,2,3
3333,1996061.csv,レッズ,ブリュワーズ,10,4
3334,1996062.csv,ロッキーズ,ジャイアンツ,6,1
3335,1996063.csv,アストロズ,オリオールズ,0,4
3336,1996064.csv,ロッキーズ,ジャイアンツ,4,9
3337,1996065.csv,エンゼルス,タイガース,3,9
3338,1996067.csv,ロッキーズ,ジャイアンツ,5,9
3339,1996069.csv,エンゼルス,タイガース,9,2
3340,1996070.csv,エンゼルス,タイガース,1,6
3341,1996071.csv,マーリンズ,ブリュワーズ,3,12
3342,1996072.csv,エンゼルス,タイガース,2,6
3343,1996075.csv,フィリーズ,ジャイアンツ,0,4
3344,1996076.csv,ブルージェイズ,タイガース,2,5
3345,1996077.csv,フィリーズ,ジャイアンツ,0,2
3346,1996078.csv,マーリンズ,ブリュワーズ,2,4
3347,1996079.csv,フィリーズ,ジャイアンツ,1,6
3348,1996080.csv,ブルージェイズ,タイガース,4,7
3349,1996081.csv,Dバックス,ジャイアンツ,3,10
3350,1996083.csv,ブルージェイズ,タイガース,8,4
3351,1996085.csv,Dバックス,ジャイアンツ,3,2
3352,1996087.csv,Dバックス,ジャイアンツ,4,5
3353,1996088.csv,インディアンス,タイガース,4,1
3354,1996089.csv,マーリンズ,ジャイアンツ,5,4
3355,1996090.csv,インディアンス,ブリュワーズ,2,3
3356,1996091.csv,インディアンス,タイガース,2,4
3357,1996092.csv,マーリンズ,ジャイアンツ,3,6
3358,1996093.csv,インディアンス,ブリュワーズ,6,2
3359,1996094.csv,マーリンズ,ジャイアンツ,5,6
3360,1996095.csv,Dバックス,ブリュワーズ,2,4
3361,1996096.csv,インディアンス,タイガース,9,2
3362,1996097.csv,パドレス,ジャイアンツ,0,3
3363,1996098.csv,Dバックス,ブリュワーズ,0,1
3364,1996099.csv,ツインズ,タイガース,6,4
3365,1996100.csv,パドレス,ジャイアンツ,6,2
3366,1996101.csv,Dバックス,ブリュワーズ,2,9
3367,1996102.csv,パドレス,ジャイアンツ,3,5
3368,1996103.csv,メッツ,ブリュワーズ,5,0
3369,1996104.csv,パドレス,ジャイアンツ,2,3
3370,1996105.csv,ツインズ,タイガース,2,5
3371,1996106.csv,ロッキーズ,ジャイアンツ,2,3
3372,1996107.csv,メッツ,ブリュワーズ,3,4
3373,1996108.csv,ロッキーズ,ジャイアンツ,0,1
3374,1996109.csv,メッツ,ブリュワーズ,6,17
3375,1996110.csv,ツインズ,タイガース,1,3
3376,1996111.csv,ロッキーズ,ジャイアンツ,9,8
3377,1996112.csv,アスレチックス,タイガース,5,4
3378,1996113.csv,メッツ,ブリュワーズ,7,8
3379,1996114.csv,アスレチックス,タイガース,9,7
3380,1996115.csv,カージナルス,ブリュワーズ,3,8
3381,1996116.csv,カージナルス,ブリュワーズ,6,1
3382,1996117.csv,アスレチックス,タイガース,3,0
3383,1996118.csv,カージナルス,ジャイアンツ,11,2
3384,1996119.csv,カージナルス,ブリュワーズ,2,3
3385,1996120.csv,カージナルス,ジャイアンツ,2,3
3386,1996121.csv,カージナルス,ジャイアンツ,3,2
3387,1996122.csv,アスレチックス,タイガース,4,2
3388,1996123.csv,カージナルス,ジャイアンツ,8,13
3389,1996124.csv,カブス,ブリュワーズ,7,2
3390,1996125.csv,カブス,ジャイアンツ,1,2
3391,1996127.csv,レンジャーズ,タイガース,7,5
3392,1996129.csv,カブス,ブリュワーズ,0,1
3393,1996130.csv,レンジャーズ,タイガース,1,3
3394,1996131.csv,フィリーズ,ブリュワーズ,2,13
3395,1996132.csv,カブス,ジャイアンツ,4,5
3396,1996133.csv,レンジャーズ,タイガース,2,7
3397,1996136.csv,レンジャーズ,タイガース,3,0
3398,1996137.csv,アスレチックス,ジャイアンツ,6,2
3399,1996138.csv,ブリュワーズ,ジャイアンツ,7,5
3400,1996140.csv,Rソックス,タイガース,1,0
3401,1996142.csv,Rソックス,タイガース,0,5
3402,1996144.csv,インディアンス,エンゼルス,6,0
3403,1996145.csv,Rソックス,タイガース,9,1
3404,1996146.csv,アストロズ,ジャイアンツ,3,1
3405,1996148.csv,アストロズ,ジャイアンツ,2,1
3406,1996149.csv,パイレーツ,ジャイアンツ,10,5
3407,1996150.csv,インディアンス,タイガース,1,2
3408,1996151.csv,パイレーツ,ジャイアンツ,10,13
3409,1996152.csv,インディアンス,タイガース,8,1
3410,1996153.csv,パイレーツ,ジャイアンツ,4,0
3411,1996154.csv,パイレーツ,ジャイアンツ,3,4
3412,1996155.csv,レッズ,タイガース,1,2
3413,1996156.csv,レンジャーズ,ジャイアンツ,7,6
3414,1996157.csv,レンジャーズ,ジャイアンツ,3,5
3415,1996158.csv,レンジャーズ,ジャイアンツ,1,3
3416,1996159.csv,レッズ,タイガース,4,7
3417,1996160.csv,Dバックス,ジャイアンツ,0,2
3418,1996161.csv,Dバックス,ジャイアンツ,0,1
3419,1996162.csv,ツインズ,タイガース,3,5
3420,1996163.csv,Dバックス,ジャイアンツ,3,1
3421,1996164.csv,ツインズ,タイガース,4,3
3422,1996165.csv,メッツ,ジャイアンツ,0,7
3423,1996166.csv,ツインズ,タイガース,2,4
3424,1996167.csv,Wソックス,タイガース,5,9
3425,1996168.csv,Wソックス,タイガース,6,3
3426,1996169.csv,メッツ,ジャイアンツ,2,1
3427,1996170.csv,メッツ,ジャイアンツ,4,1
3428,1996171.csv,Wソックス,タイガース,6,5
3429,1996172.csv,ブレーブス,ジャイアンツ,4,1
3430,1996173.csv,カブス,タイガース,1,2
3431,1996174.csv,ブレーブス,ジャイアンツ,4,1
3432,1996175.csv,カブス,タイガース,8,2
3433,1996176.csv,ブレーブス,ジャイアンツ,2,1
3434,1996177.csv,ロッキーズ,ジャイアンツ,0,2
3435,1996178.csv,Wソックス,タイガース,2,7
3436,1996179.csv,ロッキーズ,ジャイアンツ,0,3
3437,1996180.csv,ロッキーズ,ジャイアンツ,3,2
3438,1996181.csv,Wソックス,タイガース,6,3
3439,1996182.csv,パドレス,ジャイアンツ,5,0
3440,1996183.csv,パドレス,ジャイアンツ,4,5
3441,1996184.csv,Wソックス,タイガース,6,1
3442,1996185.csv,パドレス,ジャイアンツ,3,2
3443,1996186.csv,ドジャース,ジャイアンツ,3,1
3444,1996187.csv,Wソックス,タイガース,7,2
3445,1996188.csv,ドジャース,ジャイアンツ,10,6
3446,1996189.csv,カージナルス,タイガース,3,5
3447,1996190.csv,ドジャース,ジャイアンツ,15,0
3448,1996192.csv,カージナルス,タイガース,5,2
3449,1996193.csv,アストロズ,タイガース,3,2
3450,1996194.csv,アストロズ,タイガース,5,4
3451,1996195.csv,アストロズ,タイガース,5,4
3452,1996196.csv,ツインズ,タイガース,6,1
3453,1996197.csv,ツインズ,タイガース,5,3
3454,1996198.csv,ツインズ,タイガース,8,2
3455,1996199.csv,ロイヤルズ,タイガース,8,11
3456,1996200.csv,ロイヤルズ,タイガース,4,3
3457,1996201.csv,ブリュワーズ,パドレス,2,1
3458,1996202.csv,ジャイアンツ,ドジャース,1,0
3459,1996203.csv,ロイヤルズ,タイガース,4,5
3460,1996204.csv,ブリュワーズ,パドレス,8,6
3461,1996205.csv,フィリーズ,ブリュワーズ,4,1
3462,1996206.csv,ロイヤルズ,タイガース,3,2
3463,1996207.csv,フィリーズ,ブリュワーズ,10,9
3464,1996208.csv,ジャイアンツ,ドジャース,1,0
3465,1996209.csv,ブリュワーズ,パドレス,7,3
3466,1996210.csv,カージナルス,ブリュワーズ,3,11
3467,1996211.csv,カージナルス,ブリュワーズ,1,2
3468,1996212.csv,ジャイアンツ,ドジャース,0,5
3469,1996213.csv,ロッキーズ,パドレス,7,4
3470,1996214.csv,カージナルス,ブリュワーズ,3,2
3471,1996215.csv,ロッキーズ,パドレス,4,8
3472,1996216.csv,カージナルス,ブリュワーズ,8,2
3473,1996217.csv,ロッキーズ,パドレス,5,2
3474,1996218.csv,レンジャーズ,エンゼルス,5,2
3475,1996219.csv,ロイヤルズ,ブリュワーズ,1,5
3476,1996220.csv,ジャイアンツ,ドジャース,0,9
3477,1996222.csv,ロイヤルズ,ブリュワーズ,5,4
3478,1996223.csv,ジャイアンツ,パドレス,7,0
3479,1996224.csv,レンジャーズ,エンゼルス,0,1
3480,1996225.csv,アスレチックス,ドジャース,0,4
3481,1996226.csv,ジャイアンツ,パドレス,1,5
3482,1996227.csv,ツインズ,ブリュワーズ,5,6
3483,1996228.csv,レンジャーズ,エンゼルス,1,8
3484,1996229.csv,ジャイアンツ,パドレス,4,5
3485,1996230.csv,ツインズ,ブリュワーズ,0,2
3486,1996231.csv,アスレチックス,ドジャース,16,6
3487,1996232.csv,ジャイアンツ,パドレス,1,10
3488,1996233.csv,マリナーズ,エンゼルス,8,2
3489,1996234.csv,ツインズ,ブリュワーズ,2,3
3490,1996235.csv,ドジャース,パドレス,10,3
3491,1996236.csv,マリナーズ,エンゼルス,5,0
3492,1996237.csv,ブレーブス,ブリュワーズ,2,7
3493,1996239.csv,Dバックス,ドジャース,8,7
3494,1996240.csv,マリナーズ,エンゼルス,6,5
3495,1996241.csv,ブレーブス,ブリュワーズ,4,5
3496,1996243.csv,マリナーズ,エンゼルス,3,4
3497,1996244.csv,ブレーブス,ブリュワーズ,5,1
3498,1996245.csv,Dバックス,ドジャース,9,1
3499,1996246.csv,メッツ,パドレス,5,1
3500,1996247.csv,レンジャーズ,エンゼルス,4,5
3501,1996249.csv,ブレーブス,ブリュワーズ,3,10
3502,1996251.csv,ドジャース,ブリュワーズ,6,4
3503,1996252.csv,レンジャーズ,エンゼルス,1,4
3504,1996253.csv,ドジャース,ブリュワーズ,2,4
3505,1996255.csv,レンジャーズ,エンゼルス,2,3
3506,1996257.csv,アスレチックス,エンゼルス,5,8
3507,1996258.csv,アスレチックス,エンゼルス,5,2
3508,1996259.csv,アスレチックス,エンゼルス,4,5
3509,1996261.csv,タイガース,エンゼルス,2,6
3510,1996263.csv,タイガース,エンゼルス,5,11
3511,1996264.csv,タイガース,エンゼルス,0,6
3512,1996265.csv,アスレチックス,エンゼルス,3,4
3513,1996266.csv,アスレチックス,エンゼルス,7,0
3514,1996267.csv,アスレチックス,エンゼルス,8,7
3515,1996270.csv,アストロズ,エンゼルス,9,3
3516,1996271.csv,カージナルス,パドレス,2,1
3517,1996272.csv,ドジャース,ブリュワーズ,11,2
3518,1996273.csv,アストロズ,エンゼルス,8,3
3519,1996274.csv,カージナルス,パドレス,9,5
3520,1996275.csv,ナショナルズ,ブリュワーズ,1,6
3521,1996276.csv,カージナルス,パドレス,1,2
3522,1996277.csv,ナショナルズ,ブリュワーズ,4,5
3523,1996279.csv,カージナルス,パドレス,3,5
3524,1996280.csv,アストロズ,エンゼルス,3,1
3525,1996281.csv,ナショナルズ,ブリュワーズ,7,3
3526,1996282.csv,レイズ,ヤンキース,2,7
3527,1996283.csv,ロッキーズ,パドレス,6,4
3528,1996284.csv,ロッキーズ,エンゼルス,7,10
3529,1996286.csv,ロッキーズ,ブリュワーズ,3,5
3530,1996287.csv,ロッキーズ,パドレス,0,4
3531,1996288.csv,ロッキーズ,エンゼルス,3,2
3532,1996290.csv,マーリンズ,パドレス,7,2
3533,1996291.csv,ロッキーズ,ブリュワーズ,4,8
3534,1996292.csv,オリオールズ,ヤンキース,3,8
3535,1996293.csv,カージナルス,メッツ,4,9
3536,1996294.csv,マーリンズ,パドレス,5,9
3537,1996295.csv,オリオールズ,ヤンキース,8,7
3538,1996296.csv,ロッキーズ,ブリュワーズ,5,4
3539,1996297.csv,マーリンズ,パドレス,2,2
3540,1996298.csv,ドジャース,エンゼルス,2,2
3541,1996299.csv,パドレス,ブリュワーズ,11,5
3542,1996300.csv,マーリンズ,パドレス,3,8
3543,1996301.csv,パドレス,ブリュワーズ,4,8
3544,1996302.csv,ドジャース,エンゼルス,3,1
3545,1996303.csv,パドレス,ブリュワーズ,8,4
3546,1996304.csv,ドジャース,エンゼルス,3,4
3547,1996305.csv,レッズ,ブリュワーズ,2,5
3548,1996307.csv,レッズ,ブリュワーズ,9,7
3549,1996308.csv,マリナーズ,エンゼルス,3,0
3550,1996309.csv,レッズ,ブリュワーズ,0,4
3551,1996310.csv,レッズ,パドレス,7,2
3552,1996311.csv,パイレーツ,ブリュワーズ,6,7
3553,1996312.csv,マリナーズ,エンゼルス,2,11
3554,1996313.csv,レッズ,パドレス,2,8
3555,1996314.csv,パイレーツ,ブリュワーズ,9,1
3556,1996315.csv,アストロズ,エンゼルス,3,1
3557,1996316.csv,レッズ,パドレス,3,6
3558,1996317.csv,アストロズ,エンゼルス,7,0
3559,1996318.csv,ブレーブス,パドレス,4,11
3560,1996319.csv,パイレーツ,ブリュワーズ,4,7
3561,1996320.csv,ブレーブス,パドレス,14,1
3562,1996321.csv,アストロズ,エンゼルス,5,14
3563,1996322.csv,カブス,ブリュワーズ,3,4
3564,1996323.csv,Wソックス,エンゼルス,5,3
3565,1996324.csv,カージナルス,メッツ,2,6
3566,1996325.csv,ブレーブス,パドレス,1,3
3567,1996326.csv,カブス,ブリュワーズ,1,11
3568,1996327.csv,アスレチックス,パドレス,4,2
3569,1996328.csv,Wソックス,エンゼルス,4,2
3570,1996329.csv,Dバックス,ドジャース,2,7
3571,1996330.csv,アスレチックス,パドレス,12,4
3572,1996331.csv,カブス,ブリュワーズ,6,4
3573,1996332.csv,パイレーツ,パドレス,6,3
3574,1996333.csv,Wソックス,エンゼルス,3,11
3575,1996335.csv,パイレーツ,パドレス,3,4
3576,1996336.csv,Wソックス,エンゼルス,8,12
3577,1996337.csv,ジャイアンツ,ブリュワーズ,2,4
3578,1996338.csv,マーリンズ,ヤンキース,1,12
3579,1996342.csv,マーリンズ,ヤンキース,9,1
3580,1996343.csv,パイレーツ,パドレス,7,5
3581,1996344.csv,ブルージェイズ,ヤンキース,3,4
3582,1996346.csv,ドジャース,パドレス,8,2
3583,1996347.csv,ジャイアンツ,ブリュワーズ,3,6
3584,1996348.csv,ブルージェイズ,ヤンキース,8,5
3585,1996349.csv,ナショナルズ,ドジャース,3,4
3586,1996351.csv,ブルージェイズ,ヤンキース,1,9
3587,1996353.csv,パイレーツ,ブリュワーズ,4,7
3588,1996354.csv,ブルージェイズ,ヤンキース,1,5
3589,1996355.csv,ドジャース,パドレス,4,2
3590,1996356.csv,パイレーツ,ブリュワーズ,3,1
3591,1996357.csv,レンジャーズ,エンゼルス,0,6
3592,1996358.csv,カージナルス,メッツ,5,1
3593,1996359.csv,ツインズ,ヤンキース,1,14
3594,1996360.csv,ドジャース,パドレス,3,2
3595,1996361.csv,パイレーツ,ブリュワーズ,3,2
3596,1996362.csv,ツインズ,ヤンキース,3,8
3597,1996363.csv,レンジャーズ,エンゼルス,3,2
3598,1996364.csv,カブス,パドレス,5,4
3599,1996366.csv,レッズ,ブリュワーズ,0,8
3600,1996368.csv,ツインズ,ヤンキース,4,7
3601,1996369.csv,カブス,パドレス,11,6
3602,1996370.csv,レッズ,ブリュワーズ,3,1
3603,1996371.csv,レンジャーズ,エンゼルス,1,3
3604,1996372.csv,カブス,パドレス,7,4
3605,1996373.csv,フィリーズ,メッツ,0,2
3606,1996374.csv,レッズ,ブリュワーズ,0,7
3607,1996376.csv,ロイヤルズ,エンゼルス,6,9
3608,1996378.csv,タイガース,ブリュワーズ,5,6
3609,1996379.csv,ロイヤルズ,エンゼルス,0,1
3610,1996382.csv,フィリーズ,メッツ,2,4
3611,1996383.csv,タイガース,ブリュワーズ,5,6
3612,1996385.csv,ロイヤルズ,エンゼルス,3,4
3613,1996386.csv,タイガース,ブリュワーズ,0,11
3614,1996387.csv,ジャイアンツ,パドレス,5,3
3615,1996388.csv,Dバックス,エンゼルス,7,4
3616,1996389.csv,ジャイアンツ,パドレス,3,2
3617,1996390.csv,ブリュワーズ,メッツ,5,6
3618,1996392.csv,Dバックス,エンゼルス,4,5
3619,1996394.csv,ブルージェイズ,エンゼルス,5,8
3620,1996395.csv,ブリュワーズ,メッツ,5,1
3621,1996396.csv,ツインズ,ヤンキース,3,4
3622,1996397.csv,ブルージェイズ,エンゼルス,1,2
3623,1996398.csv,フィリーズ,パドレス,0,2
3624,1996399.csv,フィリーズ,パドレス,5,1
3625,1996400.csv,ブリュワーズ,メッツ,2,3
3626,1996401.csv,インディアンス,ヤンキース,6,7
3627,1996402.csv,ブルージェイズ,エンゼルス,4,1
3628,1996403.csv,フィリーズ,パドレス,3,9
3629,1996404.csv,レッズ,ドジャース,4,1
3630,1996405.csv,インディアンス,ヤンキース,2,5
3631,1996406.csv,エンゼルス,パドレス,6,3
3632,1996407.csv,インディアンス,ヤンキース,4,7
3633,1996408.csv,ブルージェイズ,エンゼルス,7,6
3634,1996409.csv,レッズ,ドジャース,6,2
3635,1996410.csv,ナショナルズ,メッツ,8,6
3636,1996411.csv,エンゼルス,パドレス,7,3
3637,1996413.csv,Rソックス,ヤンキース,2,3
3638,1996414.csv,Rソックス,ヤンキース,6,9
3639,1996416.csv,オリオールズ,エンゼルス,2,3
3640,1996417.csv,エンゼルス,パドレス,3,2
3641,1996418.csv,レッズ,ドジャース,5,3
3642,1996419.csv,Rソックス,ヤンキース,5,4
3643,1996422.csv,レッズ,ドジャース,5,3
3644,1996423.csv,Dバックス,パドレス,5,1
3645,1996425.csv,ツインズ,エンゼルス,4,7
3646,1996426.csv,ブレーブス,メッツ,3,2
3647,1996427.csv,ロッキーズ,ドジャース,2,1
3648,1996428.csv,マリナーズ,ツインズ,11,4
3649,1996429.csv,ツインズ,エンゼルス,5,4
3650,1996430.csv,ロッキーズ,ドジャース,3,5
3651,1996431.csv,Dバックス,パドレス,9,4
3652,1996434.csv,Dバックス,パドレス,6,7
3653,1996435.csv,ツインズ,エンゼルス,5,3
3654,1996436.csv,アストロズ,ツインズ,2,0
3655,1996437.csv,ロッキーズ,ドジャース,0,3
3656,1996438.csv,Dバックス,パドレス,4,3
3657,1996440.csv,マリナーズ,パドレス,1,2
3658,1996441.csv,ツインズ,エンゼルス,1,2
3659,1996442.csv,パドレス,ドジャース,1,4
3660,1996443.csv,マリナーズ,パドレス,3,8
3661,1996444.csv,アストロズ,エンゼルス,1,2
3662,1996445.csv,アストロズ,ツインズ,8,9
3663,1996446.csv,ロッキーズ,パドレス,2,3
3664,1996447.csv,ロッキーズ,パドレス,0,7
3665,1996448.csv,アストロズ,エンゼルス,5,3
3666,1996449.csv,Wソックス,ツインズ,0,4
3667,1996450.csv,アストロズ,エンゼルス,2,0
3668,1996454.csv,レイズ,エンゼルス,7,1
3669,1996456.csv,レイズ,エンゼルス,8,3
3670,1996457.csv,レイズ,エンゼルス,5,3
3671,1996458.csv,ロッキーズ,パドレス,4,2
3672,1996460.csv,ロッキーズ,パドレス,7,3
3673,1996461.csv,レンジャーズ,パドレス,4,0
3674,1996462.csv,レイズ,エンゼルス,2,5
3675,1996463.csv,レンジャーズ,パドレス,6,3
3676,1996465.csv,レンジャーズ,パドレス,3,7
3677,1996466.csv,パドレス,ドジャース,7,5
3678,1996467.csv,ジャイアンツ,パドレス,4,2
3679,1996469.csv,パドレス,ドジャース,1,6
3680,1996470.csv,ジャイアンツ,パドレス,5,4
3681,1996471.csv,ブルージェイズ,メッツ,2,12
3682,1996472.csv,フィリーズ,ドジャース,4,5
3683,1996473.csv,ジャイアンツ,パドレス,4,8
3684,1996474.csv,Dバックス,パドレス,2,3
3685,1996475.csv,フィリーズ,ドジャース,6,1
3686,1996476.csv,ブルージェイズ,メッツ,12,1
3687,1996477.csv,Dバックス,パドレス,5,4
3688,1996478.csv,フィリーズ,ドジャース,2,8
3689,1996479.csv,Dバックス,パドレス,3,4
3690,1996480.csv,Dバックス,メッツ,1,3
3691,1996481.csv,フィリーズ,ドジャース,2,1
3692,1996482.csv,インディアンス,エンゼルス,2,13
3693,1996483.csv,インディアンス,エンゼルス,2,3
3694,1996485.csv,アスレチックス,エンゼルス,7,3
3695,1996486.csv,Dバックス,メッツ,4,5
3696,1996487.csv,ツインズ,パイレーツ,4,5
3697,1996488.csv,アスレチックス,エンゼルス,1,6
3698,1996489.csv,ツインズ,パイレーツ,7,3
3699,1996490.csv,Dバックス,メッツ,1,4
3700,1996493.csv,ブレーブス,ドジャース,3,7
3701,1996495.csv,マーリンズ,メッツ,0,2
3702,1996498.csv,ブレーブス,ドジャース,5,3
3703,1996499.csv,レッズ,パイレーツ,7,4
3704,1996500.csv,Rソックス,エンゼルス,8,2
3705,1996502.csv,レッズ,パイレーツ,0,5
3706,1996503.csv,ブレーブス,ドジャース,2,7
3707,1996504.csv,マーリンズ,メッツ,5,1
3708,1996505.csv,ジャイアンツ,エンゼルス,8,1
3709,1996506.csv,ロッキーズ,パイレーツ,6,2
3710,1996507.csv,レッズ,ツインズ,15,9
3711,1996509.csv,マーリンズ,メッツ,2,1
3712,1996510.csv,レッズ,ツインズ,1,3
3713,1996511.csv,レンジャーズ,ドジャース,5,12
3714,1996513.csv,ジャイアンツ,エンゼルス,3,4
3715,1996514.csv,レッズ,ツインズ,8,2
3716,1996516.csv,カブス,メッツ,5,1
3717,1996517.csv,レンジャーズ,ドジャース,2,3
3718,1996518.csv,ジャイアンツ,エンゼルス,4,2
3719,1996519.csv,タイガース,パイレーツ,13,10
3720,1996521.csv,タイガース,パイレーツ,0,1
3721,1996522.csv,ヤンキース,エンゼルス,4,3
3722,1996523.csv,ブルージェイズ,ツインズ,7,4
3723,1996524.csv,カブス,メッツ,7,4
3724,1996525.csv,カージナルス,パイレーツ,5,6
3725,1996526.csv,ジャイアンツ,ドジャース,2,3
3726,1996530.csv,ジャイアンツ,ドジャース,1,3
3727,1996531.csv,カージナルス,ツインズ,1,4
3728,1996534.csv,カブス,メッツ,7,1
3729,1996535.csv,カージナルス,ツインズ,7,5
3730,1996536.csv,カブス,メッツ,2,0
3731,1996537.csv,オリオールズ,メッツ,2,1
3732,1996538.csv,ジャイアンツ,ドジャース,4,1
3733,1996539.csv,オリオールズ,メッツ,1,0
3734,1996540.csv,カブス,ドジャース,1,2
3735,1996541.csv,ヤンキース,メッツ,4,1
