,試合ID,表チーム,裏チーム,表得点,裏得点
1201,1704252.csv,ツインズ,マリナーズ,3,12
1202,1704253.csv,ツインズ,マリナーズ,5,6
1203,1704254.csv,Rソックス,レンジャーズ,7,5
1204,1704255.csv,ツインズ,マリナーズ,2,1
1205,1704256.csv,Rソックス,レンジャーズ,11,4
1206,1704258.csv,ブルージェイズ,マリナーズ,2,4
1207,1704260.csv,ブレーブス,レッズ,6,5
1208,1704261.csv,ブルージェイズ,マリナーズ,4,2
1209,1704262.csv,エンゼルス,レンジャーズ,0,10
1210,1704263.csv,ブルージェイズ,マリナーズ,4,0
1211,1704264.csv,ブレーブス,レッズ,13,8
1212,1704265.csv,エンゼルス,レンジャーズ,2,5
1213,1704267.csv,カージナルス,レッズ,2,4
1214,1704268.csv,タイガース,マリナーズ,4,5
1215,1704269.csv,エンゼルス,レンジャーズ,3,0
1216,1704270.csv,タイガース,マリナーズ,5,7
1217,1704271.csv,カージナルス,レッズ,1,13
1218,1704272.csv,タイガース,マリナーズ,6,9
1219,1704273.csv,カージナルス,レッズ,4,6
1220,1704274.csv,アストロズ,マリナーズ,3,13
1221,1704275.csv,カージナルス,レッズ,2,5
1222,1704276.csv,ドジャース,レッズ,3,1
1223,1704277.csv,アストロズ,マリナーズ,5,2
1224,1704279.csv,アストロズ,マリナーズ,8,2
1225,1704280.csv,フィリーズ,マリナーズ,8,2
1226,1704281.csv,マーリンズ,レンジャーズ,4,0
1227,1704283.csv,フィリーズ,マリナーズ,5,4
1228,1704284.csv,マーリンズ,レンジャーズ,4,10
1229,1704285.csv,ブリュワーズ,レッズ,6,8
1230,1704286.csv,マーリンズ,レンジャーズ,22,10
1231,1704287.csv,オリオールズ,レンジャーズ,2,8
1232,1704288.csv,ブリュワーズ,レッズ,3,4
1233,1704289.csv,オリオールズ,レンジャーズ,4,0
1234,1704290.csv,オリオールズ,レンジャーズ,10,6
1235,1704292.csv,マリナーズ,レンジャーズ,6,4
1236,1704294.csv,ロイヤルズ,マリナーズ,3,1
1237,1704296.csv,ロイヤルズ,マリナーズ,7,3
1238,1704297.csv,カブス,レッズ,6,2
1239,1704300.csv,マリナーズ,レンジャーズ,8,7
1240,1704302.csv,アスレチックス,マリナーズ,7,4
1241,1704303.csv,マリナーズ,レンジャーズ,1,5
1242,1704304.csv,アスレチックス,マリナーズ,2,7
1243,1704306.csv,アストロズ,レンジャーズ,4,6
1244,1704307.csv,アスレチックス,マリナーズ,4,3
1245,1704308.csv,アスレチックス,マリナーズ,0,4
1246,1704309.csv,アストロズ,レンジャーズ,3,8
1247,1704310.csv,ナショナルズ,レッズ,6,1
1248,1704311.csv,アストロズ,レンジャーズ,2,1
1249,1704312.csv,Dバックス,レッズ,11,2
1250,1704313.csv,タイガース,レンジャーズ,2,6
1251,1704314.csv,タイガース,レンジャーズ,4,10
1252,1704315.csv,Dバックス,レッズ,3,4
1253,1704316.csv,タイガース,レンジャーズ,6,12
1254,1704317.csv,ヤンキース,マリナーズ,4,1
1255,1704318.csv,Wソックス,レンジャーズ,8,9
1256,1704319.csv,Dバックス,レッズ,12,2
1257,1704320.csv,ヤンキース,マリナーズ,5,1
1258,1704321.csv,Wソックス,レンジャーズ,4,3
1259,1704323.csv,Wソックス,レンジャーズ,7,17
1260,1704324.csv,ブリュワーズ,メッツ,2,4
1261,1704325.csv,マーリンズ,レッズ,3,1
1262,1704326.csv,ヤンキース,マリナーズ,6,4
1263,1704329.csv,Rソックス,マリナーズ,0,4
1264,1704330.csv,ブリュワーズ,メッツ,4,5
1265,1704331.csv,Rソックス,マリナーズ,5,6
1266,1704333.csv,Rソックス,マリナーズ,4,0
1267,1704334.csv,エンゼルス,レンジャーズ,9,10
1268,1704335.csv,ブリュワーズ,メッツ,7,1
1269,1704336.csv,エンゼルス,レンジャーズ,7,4
1270,1704338.csv,メッツ,マリナーズ,7,5
1271,1704339.csv,カージナルス,レッズ,2,3
1272,1704340.csv,メッツ,マリナーズ,2,3
1273,1704341.csv,ヤンキース,レンジャーズ,5,11
1274,1704342.csv,ヤンキース,レンジャーズ,3,1
1275,1704343.csv,メッツ,マリナーズ,1,9
1276,1704344.csv,カージナルス,レッズ,4,1
1277,1704345.csv,ブリュワーズ,メッツ,2,1
1278,1704346.csv,ヤンキース,レンジャーズ,16,7
1279,1704347.csv,カージナルス,レッズ,13,4
1280,1704349.csv,パドレス,レッズ,3,11
1281,1704350.csv,エンゼルス,マリナーズ,6,3
1282,1704352.csv,パドレス,レッズ,7,3
1283,1704353.csv,マリナーズ,レンジャーズ,3,5
1284,1704354.csv,エンゼルス,マリナーズ,6,5
1285,1704355.csv,エンゼルス,マリナーズ,6,3
1286,1704356.csv,マリナーズ,レンジャーズ,10,3
1287,1704358.csv,エンゼルス,マリナーズ,4,2
1288,1704359.csv,マリナーズ,レンジャーズ,8,1
1289,1704360.csv,パイレーツ,メッツ,11,1
1290,1704361.csv,オリオールズ,マリナーズ,11,3
1291,1704362.csv,マリナーズ,レンジャーズ,10,4
1292,1704363.csv,パドレス,レッズ,3,10
1293,1704364.csv,オリオールズ,マリナーズ,1,3
1294,1704365.csv,アストロズ,レンジャーズ,11,2
1295,1704366.csv,カブス,メッツ,1,6
1296,1704367.csv,オリオールズ,マリナーズ,6,7
1297,1704368.csv,アストロズ,レンジャーズ,14,3
1298,1704370.csv,アストロズ,レンジャーズ,12,2
1299,1704372.csv,アスレチックス,マリナーズ,2,3
1300,1704373.csv,アスレチックス,レンジャーズ,4,1
1301,1704374.csv,カブス,レッズ,9,3
1302,1704375.csv,アスレチックス,マリナーズ,6,6
1303,1704376.csv,アスレチックス,レンジャーズ,3,5
1304,1704379.csv,カブス,レッズ,2,4
1305,1704380.csv,アスレチックス,レンジャーズ,4,8
1306,1704382.csv,ナショナルズ,メッツ,8,3
1307,1704383.csv,アストロズ,マリナーズ,3,1
1308,1704384.csv,パイレーツ,レッズ,5,9
1309,1704385.csv,アスレチックス,レンジャーズ,5,2
1310,1704386.csv,アストロズ,マリナーズ,5,3
1311,1704387.csv,ナショナルズ,メッツ,7,2
1312,1704388.csv,パイレーツ,レッズ,1,0
1313,1704389.csv,エンゼルス,マリナーズ,3,4
1314,1704391.csv,パイレーツ,レッズ,5,2
1315,1704393.csv,エンゼルス,マリナーズ,5,3
1316,1704395.csv,メッツ,レッズ,4,14
1317,1704397.csv,レンジャーズ,マリナーズ,8,6
1318,1704398.csv,メッツ,レッズ,2,0
1319,1704402.csv,メッツ,レッズ,2,7
1320,1704403.csv,インディアンス,マリナーズ,11,4
1321,1704404.csv,インディアンス,マリナーズ,4,2
1322,1704407.csv,ブリュワーズ,レッズ,3,9
1323,1704408.csv,フィリーズ,メッツ,7,1
1324,1704409.csv,ブリュワーズ,レッズ,1,7
1325,1704411.csv,パイレーツ,レッズ,2,4
1326,1704412.csv,パイレーツ,レッズ,1,2
1327,1704413.csv,パイレーツ,レッズ,2,5
1328,1704416.csv,カージナルス,レッズ,9,2
1329,1704417.csv,マリナーズ,アストロズ,0,3
1330,1704419.csv,Rソックス,レッズ,5,4
1331,1704420.csv,マリナーズ,アストロズ,1,2
1332,1704421.csv,Rソックス,レッズ,5,0
1333,1704422.csv,マリナーズ,アストロズ,3,5
1334,1704423.csv,Rソックス,レッズ,5,4
1335,1704424.csv,マリナーズ,アストロズ,4,2
1336,1704426.csv,ロイヤルズ,アストロズ,5,1
1337,1704427.csv,カージナルス,メッツ,6,3
1338,1704428.csv,カージナルス,メッツ,5,0
1339,1704429.csv,ロイヤルズ,アストロズ,7,3
1340,1704430.csv,カージナルス,メッツ,3,7
1341,1704431.csv,ロイヤルズ,アストロズ,4,5
